epoch,accuracy,loss,val_accuracy,val_loss
0,0.999821126461029,0.0014733417192474008,NA,NA
1,0.9999033212661743,0.0014341336209326982,NA,NA
2,0.9997587203979492,0.004953077062964439,NA,NA
3,0.9998641014099121,0.006231723353266716,NA,NA
4,0.9999545216560364,0.001029397826641798,NA,NA
5,0.9999655485153198,0.0008179673459380865,NA,NA
6,0.9999327063560486,0.004190620966255665,NA,NA
7,0.9999914765357971,0.0003493348485790193,NA,NA
8,0.9999972581863403,7.244733569677919e-05,NA,NA
9,0.9999961256980896,0.00013028498506173491,NA,NA
10,0.9999974966049194,5.5033076932886615e-05,NA,NA
11,0.9999979138374329,1.9755570974666625e-05,NA,NA
12,0.9999979138374329,2.923881766037084e-05,NA,NA
13,0.999998152256012,7.003615610301495e-05,NA,NA
14,0.9999983906745911,2.843056063284166e-05,NA,NA
15,0.9999986290931702,1.2604894436663017e-05,NA,NA
16,0.9999924302101135,0.0003303984412923455,NA,NA
17,0.9999992847442627,1.241294557985384e-05,NA,NA
18,0.9999986290931702,1.7953214410226792e-05,NA,NA
19,1.0,1.499162122567399e-12,NA,NA
20,0.9999995231628418,5.8627670114219654e-06,NA,NA
21,0.9999976754188538,2.8804599423892796e-05,NA,NA
22,0.9999905824661255,0.0003460122970864177,NA,NA
23,0.9999983906745911,1.4998784536146559e-05,NA,NA
24,1.0,5.70862634940994e-10,NA,NA
25,1.0,2.4090065012249973e-11,NA,NA
26,1.0,1.474323694540796e-14,NA,NA
27,1.0,1.1397329748811386e-13,NA,NA
28,1.0,1.7393714845715703e-14,NA,NA
29,1.0,2.0353095597780424e-10,NA,NA
30,0.9999997615814209,2.4526163997506956e-06,NA,NA
31,0.9999995231628418,4.388374691188801e-06,NA,NA
32,0.9999991059303284,8.893461199477315e-06,NA,NA
33,0.9999988675117493,3.0718842026544735e-05,NA,NA
34,0.9999997615814209,2.8968213428015588e-06,NA,NA
35,1.0,9.632444886165104e-08,NA,NA
36,0.9999995231628418,2.2118351807876024e-06,NA,NA
37,0.9999995231628418,7.695001841057092e-06,NA,NA
38,0.9999988675117493,9.97173356154235e-06,NA,NA
39,1.0,2.5321215610385472e-11,NA,NA
40,1.0,2.3232865216621205e-14,NA,NA
41,1.0,3.682809612826077e-11,NA,NA
42,1.0,1.6598395430413205e-16,NA,NA
43,1.0,3.92906696418656e-18,NA,NA
44,1.0,6.98728591490849e-21,NA,NA
45,1.0,5.179976118796281e-19,NA,NA
46,1.0,7.673783623222848e-20,NA,NA
47,1.0,1.1468002285631912e-19,NA,NA
48,1.0,1.3603343963025235e-18,NA,NA
49,1.0,3.747454084026561e-17,NA,NA
